id;region_id;address_district_id;address_settlement_type_id;name;kato_id;parent_name;id;resource;id;kato_version;address_settlement_id;kato_id;id;region_id;address_district_type_id;name;kato_id;id;resource;id;kato_version;address_district_id;kato_id;id;resource;region_type_id;code;kato_id;id;resource;id;kato_version;region_id;kato_id
1077;1004;102;41;Филипповка;113247400;;41;settlement.type.selo;8257;1;1077;113247107;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1078;1004;102;41;Hоворыбинка;113249100;;41;settlement.type.selo;8258;1;1078;113249100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1079;1004;102;41;Кара-Озек;113249200;;41;settlement.type.selo;8259;1;1079;113249200;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1080;1004;102;41;Курылыс;113249300;;41;settlement.type.selo;8260;1;1080;113249300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1081;1004;102;6;Жалгызкарагай;113251100;;6;settlement.type.aul;8261;1;1081;113251100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1082;1004;102;6;Кайнар;113251200;;6;settlement.type.aul;8262;1;1082;113251200;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1083;1004;102;6;Тастыадыр;113251300;;6;settlement.type.aul;8263;1;1083;113251300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1084;1004;102;41;Енбек;113253100;;41;settlement.type.selo;8264;1;1084;113253100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1085;1004;102;41;Кирово;113253300;;41;settlement.type.selo;8265;1;1085;113253300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1086;1004;102;41;Подлесное;113253400;;41;settlement.type.selo;8266;1;1086;113253400;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1087;1004;102;41;Урюпинка;113255100;;41;settlement.type.selo;8267;1;1087;113255100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1088;1004;102;41;Амангельды;113255200;;41;settlement.type.selo;8268;1;1088;113255200;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1089;1004;102;41;Ерофеевка;113255500;;41;settlement.type.selo;8269;1;1089;113255500;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
